Country Name,Year,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),Inflation (Annual %),Wealth Inequality (Top 10%),Wealth Inequality (Bottom 50%),Year_Raw,General Government Debt (% of GDP)
Denmark,2019,-1.10067098319484,1.72954595285148,1.71140093932736,21.8859998750194,0.358130915892652,0.75813157251162,0.5045000000000001,0.0403,2019,38.334642
Denmark,2020,0.363874538682217,2.68953723439035,-1.78010601831291,22.7626532555055,0.291641177476633,0.420711974110024,0.5045000000000001,0.0403,2020,46.278416
Denmark,2021,4.18538817542322,8.98143557932231,6.50025445756295,23.9587122773163,0.433414489409722,1.85304543989689,0.5079,0.04,2021,40.487225
Denmark,2022,6.9048667972729,7.25600454193578,0.443832614908331,24.7772032902353,0.787502464739957,7.69656699889259,0.5071,0.0401,2022,34.076839
Egypt,1995,0.994028431372549,0.154589705882353,4.64245877240639,20.1470588235294,2.10420542038277,15.7422305021595,0.5974,0.0451,1995,97.510652
Egypt,1996,0.940414995640802,0.0073931996512641,4.98873056512208,18.1342632955536,2.07336196347662,7.18710369719992,0.6043000000000001,0.044,1996,88.133637
Egypt,1997,1.13537589319293,0.164719067318541,5.49235474302942,17.562993606619,2.07255934283796,4.62560578826438,0.6118,0.0426,1997,80.190669
Egypt,1998,1.26843702157272,0.0530480167014614,5.575497460986,21.5031315240083,2.18480759530922,3.87257546427489,0.6265000000000001,0.04,1998,76.415599
Egypt,1999,1.1743928153446,0.0413402145643693,6.05343878467555,21.6189856957087,2.23056416641405,3.07949912638332,0.6344000000000001,0.0385,1999,73.303935
Egypt,2000,1.23699720670391,0.0510824757424287,6.37000382991766,19.5530726256983,2.16091978529782,2.68380535348546,0.632,0.0389,2000,69.469755
Egypt,2001,0.527384722609423,0.0128252021187622,3.53525197391507,18.2603847226094,2.12380362345226,2.26975720475955,0.6308,0.0392,2001,76.625465
Egypt,2002,0.759753233043019,0.0326497756664027,2.39020402573726,17.9994721562418,2.10372359745955,2.73723855000334,0.6291,0.0395,2002,85.776013
Egypt,2003,0.295683832335329,0.0257820359281437,3.19345473739745,16.8862275449102,2.09545323003183,4.50777636319303,0.628,0.0397,2003,97.094864
Egypt,2004,1.59083618380383,0.201694621883371,4.0920716112534,16.9379765093756,2.06437734857129,11.2706193320519,0.6267,0.0399,2004,96.511849
Egypt,2005,5.99551598885794,0.102609470752089,4.47174447174434,17.9758588672238,2.02220952721924,4.86939696871988,0.6266,0.04,2005,98.262557
Egypt,2006,9.34856726566294,0.138141492633965,6.84383819379117,18.7307754573418,1.95291342300488,7.64452644526434,0.6265000000000001,0.04,2006,85.924229
Egypt,2007,8.87633606337272,0.509668098818475,7.08782742681038,20.8512352309345,1.88753217077119,9.31896905799229,0.6306,0.0396,2007,76.267557
Egypt,2008,5.8314126186488,1.17935231714126,7.15628356605819,22.3897264098269,1.86740413264217,18.3168316831684,0.6361,0.039,2008,66.760615
Egypt,2009,3.54835118019574,0.301987334484744,4.67359979952391,19.1901746305891,1.88836522446639,11.7634954386443,0.6143000000000001,0.0422,2009,69.450038
Egypt,2010,2.91601657550141,0.536798027515332,5.1472348575531,19.5010774075916,1.91795124102801,11.2651882653185,0.6094,0.0432,2010,69.589541
Egypt,2011,-0.204542848807527,0.265053971263949,1.7645719489982,17.1030559404857,2.1044607622412,10.0649259874818,0.6147,0.0424,2011,72.829976
Egypt,2012,1.00234071774049,0.0756314563802472,2.22619979863525,16.0267510598913,2.24475795490011,7.11172943343082,0.6152000000000001,0.0422,2012,69.861625
Egypt,2013,1.45343420769727,0.104356589980649,2.18546605362143,14.2119974199097,2.30526364315625,9.4697198106492,0.6244000000000001,0.0406,2013,79.81205
Egypt,2014,1.50925042253521,0.0826910328638498,2.91591187985748,13.6431924882629,2.27643956620182,10.0702154687481,0.6298,0.0396,2014,80.874041
Egypt,2015,2.10258128401326,0.0551664961741479,4.37201907790141,14.2886370146078,2.09892554805563,10.370490343517,0.6324000000000001,0.039,2015,83.753677
Egypt,2016,2.43856278142762,0.062146231638001,4.34664345555447,15.0402303092936,2.03468294927084,13.8136062148289,0.6281,0.0398,2016,91.586298
Egypt,2017,2.98301550917695,0.0801247298886731,4.18122099994778,18.734101042151,1.99817843887244,29.5066083940038,0.6294000000000001,0.04,2017,97.800323
Egypt,2018,3.10040077579187,0.123192309159487,5.3311086189448,20.6249196348206,1.89713831833082,14.4014657807421,0.6297,0.0399,2018,87.949081
Egypt,2019,2.82732944960686,0.127097246604718,5.55209307156956,20.6540385989993,1.75497438173801,9.15279959324803,0.6279,0.04,2019,80.092066
Egypt,2020,1.52462948997172,0.0850663946949257,3.55016483786838,18.8180606572831,1.62495386951696,5.04493288977538,0.615,0.0423,2020,86.222475
Egypt,2021,1.20617861055665,0.0864196845312242,3.29064601202211,18.2122435502994,1.4908053906311,5.21404940513042,0.6147,0.0423,2021,89.902601
Egypt,2022,2.39118080969079,0.07169410264584,6.58784560886967,19.8559132929551,1.48609697540294,13.8956609775177,0.6148,0.0423,2022,88.533527
Estonia,1995,4.592689682119,0.173573658744264,4.52668179218811,26.4111323654494,-1.78539953576165,28.7766137208513,0.6728000000000001,0.0042,1995,8.6590098
